Time(s);Current(A)
0.00000e+00;2.3319035723785332e-20
2.50000e-10;1.6479506414286842e-14
5.00000e-10;7.083050321287304e-15
7.50000e-10;-3.980370195532038e-07
1.00000e-09;-2.6880171504457753e-06
1.25000e-09;-8.026219550367487e-06
1.50000e-09;-1.5435556436945678e-05
1.75000e-09;-2.3467728711022653e-05
2.00000e-09;-3.1690491622489446e-05
2.25000e-09;-4.006095675659108e-05
2.50000e-09;-4.853623848875686e-05
2.75000e-09;-5.7322771581961224e-05
3.00000e-09;-6.731338523791619e-05
3.25000e-09;-7.91893506365721e-05
3.50000e-09;-9.229560063952267e-05
3.75000e-09;-0.00010568196197107015
4.00000e-09;-0.00011903477293378825
4.25000e-09;-0.000132186126986284
4.50000e-09;-0.00014525440169754273
4.75000e-09;-0.00015832267640880144
5.00000e-09;-0.00017177033886904065
5.25000e-09;-0.00018595391081793405
5.50000e-09;-0.00020039212708198326
5.75000e-09;-0.0002148303433460325
6.00000e-09;-0.00022849373388925538
6.25000e-09;-0.0002418078413804245
6.50000e-09;-0.0002540419766680561
6.75000e-09;-0.00026578927217062935
7.00000e-09;-0.00027753656767320266
7.25000e-09;-0.0002886512092290966
7.50000e-09;-0.0002994806572305559
7.75000e-09;-0.00030958103961435446
8.00000e-09;-0.0003193527671055246
8.25000e-09;-0.0003291244945966948
8.50000e-09;-0.0003402375900832887
8.75000e-09;-0.0003519553597498636
9.00000e-09;-0.00036517094069445663
9.25000e-09;-0.000379061718758253
9.50000e-09;-0.0003940049006238296
9.75000e-09;-0.00040942249473721674
1.00000e-08;-0.0004261056575329183
1.02500e-08;-0.0004433593249983294
1.05000e-08;-0.0004625475650610693
1.07500e-08;-0.0004826078895204058
1.10000e-08;-0.0005048741374858374
1.12500e-08;-0.0005281347919017727
1.15000e-08;-0.0005513954463177077
1.17500e-08;-0.0005765545105957334
1.20000e-08;-0.0006025693575005575
1.22500e-08;-0.0006285842044053816
1.25000e-08;-0.0006573545407328938
1.27500e-08;-0.000687367021880317
1.30000e-08;-0.0007173795030277404
1.32500e-08;-0.0007473919841751638
1.35000e-08;-0.0007774044653225871
1.37500e-08;-0.0008074169464700105
1.40000e-08;-0.0008387371638678722
1.42500e-08;-0.0008706468946189394
1.45000e-08;-0.0009025566253700068
1.47500e-08;-0.0009344663561210742
1.50000e-08;-0.0009663760868721417
1.52500e-08;-0.000998285817623209
1.55000e-08;-0.0010250249551835941
1.57500e-08;-0.001049433245274637
1.60000e-08;-0.0010738415353656792
1.62500e-08;-0.0010982498254567216
1.65000e-08;-0.0011226581155477642
1.67500e-08;-0.0011470664056388066
1.70000e-08;-0.001171474695729849
1.72500e-08;-0.0011958829858208916
1.75000e-08;-0.001220291275911934
1.77500e-08;-0.0012446995660029762
1.80000e-08;-0.0012691078560940188
1.82500e-08;-0.0012935161461850612
1.85000e-08;-0.0013179244362761036
1.87500e-08;-0.0013309125218223152
1.90000e-08;-0.0013387525027157253
1.92500e-08;-0.0013465924836091356
1.95000e-08;-0.0013544324645025458
1.97500e-08;-0.0013622724453959559
2.00000e-08;-0.0013701124262893662
2.02500e-08;-0.0013779524071827764
2.05000e-08;-0.0013857923880761865
2.07500e-08;-0.0013936323689695967
2.10000e-08;-0.001401472349863007
2.12500e-08;-0.0014093123307564173
2.15000e-08;-0.0014171523116498273
2.17500e-08;-0.0014249922925432376
2.20000e-08;-0.0014258909898326494
2.22500e-08;-0.0014236606315716225
2.25000e-08;-0.0014214302733105957
2.27500e-08;-0.0014191999150495688
2.30000e-08;-0.001416969556788542
2.32500e-08;-0.001414739198527515
2.35000e-08;-0.0014125088402664884
2.37500e-08;-0.0014102784820054614
2.40000e-08;-0.0014080481237444347
2.42500e-08;-0.0014051939078796262
2.45000e-08;-0.001399667599027035
2.47500e-08;-0.0013941412901744442
2.50000e-08;-0.001388614981321853
2.52500e-08;-0.0013830886724692621
2.55000e-08;-0.001377562363616671
2.57500e-08;-0.0013720360547640799
2.60000e-08;-0.001366509745911489
2.62500e-08;-0.0013609834370588978
2.65000e-08;-0.001355457128206307
2.67500e-08;-0.0013504369771421432
2.70000e-08;-0.0013456449965328456
2.72500e-08;-0.0013408530159235478
2.75000e-08;-0.00133606103531425
2.77500e-08;-0.0013312690547049523
2.80000e-08;-0.0013240744776013911
2.82500e-08;-0.00131579683599208
2.85000e-08;-0.0013075191943827688
2.87500e-08;-0.0012992415527734577
2.90000e-08;-0.0012909639111641465
2.92500e-08;-0.0012785160053951125
2.95000e-08;-0.0012641881896612622
2.97500e-08;-0.0012498603739274125
3.00000e-08;-0.0012319469641499851
3.02500e-08;-0.0012124172073705133
3.05000e-08;-0.0011928874505910412
3.07500e-08;-0.0011691919178966484
3.10000e-08;-0.0011436184984896383
3.12500e-08;-0.0011180450790826276
3.15000e-08;-0.0010892876271291812
3.17500e-08;-0.0010590948477520784
3.20000e-08;-0.0010289020683749755
3.22500e-08;-0.0009954653017391311
3.25000e-08;-0.000960566180743977
3.27500e-08;-0.0009256670597488231
3.30000e-08;-0.0008879909910807237
3.32500e-08;-0.0008490631044456584
3.35000e-08;-0.0008101352178105934
3.37500e-08;-0.0007712073311755281
3.40000e-08;-0.0007318740453148034
3.42500e-08;-0.0006908043625238023
3.45000e-08;-0.0006497346797328001
3.47500e-08;-0.0006086649969417989
3.50000e-08;-0.0005675953141507978
3.52500e-08;-0.0005271187434596362
3.55000e-08;-0.00048690954128615977
3.57500e-08;-0.00044670033911268337
3.60000e-08;-0.0004080198349912754
3.62500e-08;-0.0003700284514126471
3.65000e-08;-0.00033325719905591503
3.67500e-08;-0.0002980763761631286
3.70000e-08;-0.0002645866950103063
3.72500e-08;-0.0002330516065906662
3.75000e-08;-0.0002037340301308543
3.77500e-08;-0.00017686868118666347
3.80000e-08;-0.00015258253333176258
3.82500e-08;-0.0001308857484152172
3.85000e-08;-0.00011178146938151103
3.87500e-08;-9.531838616712463e-05
3.90000e-08;-8.156116178599293e-05
3.92500e-08;-7.057467377053453e-05
3.95000e-08;-6.242346553187567e-05
3.97500e-08;-5.7154392757990934e-05
4.00000e-08;-5.474680998235437e-05
4.02500e-08;-5.51069149152464e-05
4.05000e-08;-5.8136499637125334e-05
4.07500e-08;-6.376590479988593e-05
4.10000e-08;-7.19354685476229e-05
4.12500e-08;-8.25856599183077e-05
4.15000e-08;-9.565675016144164e-05
4.17500e-08;-0.00011107792486317299
4.20000e-08;-0.00012873609204354697
4.22500e-08;-0.00014847235178386243
4.25000e-08;-0.00017012503798967236
4.27500e-08;-0.00019355038331991337
4.30000e-08;-0.000218610896599622
4.32500e-08;-0.00024516918217957974
4.35000e-08;-0.0002734909057468891
4.37500e-08;-0.0003024037568681657
4.40000e-08;-0.00033289366567561794
4.42500e-08;-0.00036409449502569706
4.45000e-08;-0.0003952953243757762
4.47500e-08;-0.0004273079830591314
4.50000e-08;-0.00045968660562268807
4.52500e-08;-0.000492065228186244
4.55000e-08;-0.0005244438507497998
4.57500e-08;-0.0005557860378199604
4.60000e-08;-0.0005866610109829691
4.62500e-08;-0.0006175359841459778
4.65000e-08;-0.0006484109573089873
4.67500e-08;-0.000676479506960121
4.70000e-08;-0.0007032829512550009
4.72500e-08;-0.0007300863955498807
4.75000e-08;-0.0007532849875398125
4.77500e-08;-0.0007748585511118319
4.80000e-08;-0.0007964321146838517
