Time(s);Current(A)
1.42500e-05;-0.0037084967292981327
1.42503e-05;-0.0037234677820179207
1.42505e-05;-0.0037377850480055336
1.42508e-05;-0.0037494832215339015
1.42510e-05;-0.003761181395062269
1.42513e-05;-0.0037728795685905577
1.42515e-05;-0.0037845777421189257
1.42518e-05;-0.0037962759156472932
1.42520e-05;-0.003807974089175582
1.42523e-05;-0.00381967226270395
1.42525e-05;-0.0038313704362323174
1.42528e-05;-0.0038430686097606854
1.42530e-05;-0.003854766783288974
1.42533e-05;-0.0038657969211150006
1.42535e-05;-0.0038741508846093014
1.42538e-05;-0.003882504848103546
1.42540e-05;-0.0038908588115978467
1.42543e-05;-0.0038992127750921476
1.42545e-05;-0.003907566738586391
1.42548e-05;-0.003915920702080692
1.42550e-05;-0.003924274665574993
1.42553e-05;-0.003932628629069237
1.42555e-05;-0.003940982592563538
1.42558e-05;-0.003949336556057839
1.42560e-05;-0.003957180149904542
1.42563e-05;-0.003962979185135814
1.42565e-05;-0.003968778220367087
1.42568e-05;-0.003973695674199875
1.42570e-05;-0.003975081482190905
1.42573e-05;-0.003976467290181937
1.42575e-05;-0.0039778530981729576
1.42578e-05;-0.003979238906163988
1.42580e-05;-0.003980624714155019
1.42583e-05;-0.00398201052214604
1.42585e-05;-0.003977715149503068
1.42588e-05;-0.003970982188769977
1.42590e-05;-0.003964249228036932
1.42593e-05;-0.003957516267303842
1.42595e-05;-0.003950783306570751
1.42598e-05;-0.003944050345837706
1.42600e-05;-0.003935682757696977
1.42603e-05;-0.003920766795126496
1.42605e-05;-0.0039058508325561176
1.42608e-05;-0.0038909348699856373
1.42610e-05;-0.0038760189074151575
1.42613e-05;-0.0038611029448447787
1.42615e-05;-0.003846186982274299
1.42618e-05;-0.003830126050005012
1.42620e-05;-0.0038094783291721017
1.42623e-05;-0.003788830608339332
1.42625e-05;-0.003768182887506422
1.42628e-05;-0.0037475351666735124
1.42630e-05;-0.0037268874458407423
1.42633e-05;-0.0037062397250078325
1.42635e-05;-0.0036852540913636985
1.42638e-05;-0.0036629147672074063
1.42640e-05;-0.003640575443050963
1.42643e-05;-0.0036183271234458674
1.42645e-05;-0.0035964433712489885
1.42648e-05;-0.0035745596190519613
1.42650e-05;-0.003552968476719001
1.42653e-05;-0.003532549539711553
1.42655e-05;-0.003512130602703967
1.42658e-05;-0.0034924527311062502
1.42660e-05;-0.003475743593398415
1.42663e-05;-0.003459034455690466
1.42665e-05;-0.0034423253179825175
1.42668e-05;-0.003425616180274682
1.42670e-05;-0.0034094084946982533
1.42673e-05;-0.0033952096438579233
1.42675e-05;-0.0033810107930176895
1.42678e-05;-0.0033668119421773595
1.42680e-05;-0.0033526130913370295
1.42683e-05;-0.0033384410488562772
1.42685e-05;-0.003324376401598949
1.42688e-05;-0.003310311754341621
1.42690e-05;-0.003296247107084388
1.42693e-05;-0.0032821824598270604
1.42695e-05;-0.003268117812569732
1.42698e-05;-0.0032540531653124996
1.42700e-05;-0.0032399885180551713
1.42703e-05;-0.003224961090809068
1.42705e-05;-0.003209520569668174
1.42708e-05;-0.003194080048527386
