Time(s);Current(A)
1.05000e-05;-0.007222196379444303
1.05002e-05;-0.007182536662558141
1.05005e-05;-0.007140130107006392
1.05008e-05;-0.0070977235514546435
1.05010e-05;-0.007055316995903182
1.05013e-05;-0.007012910440351432
1.05015e-05;-0.0069705038847996835
1.05017e-05;-0.0069280452576738
1.05020e-05;-0.006885109710899669
1.05023e-05;-0.006842174164125538
1.05025e-05;-0.006799238617351698
1.05028e-05;-0.006756303070577568
1.05030e-05;-0.006713367523803438
1.05033e-05;-0.0066704319770293065
1.05035e-05;-0.006629533045351433
1.05038e-05;-0.006590000730365442
1.05040e-05;-0.006553033716294097
1.05043e-05;-0.006517788079550176
1.05045e-05;-0.006482542442806018
1.05048e-05;-0.0064479437718002715
1.05050e-05;-0.00641927061151145
1.05053e-05;-0.006390597451222436
1.05055e-05;-0.00636192429093342
1.05058e-05;-0.006333041519005446
1.05060e-05;-0.006304018092730987
1.05063e-05;-0.006274994666456528
1.05065e-05;-0.0062453008571486945
1.05068e-05;-0.006215157205037403
1.05070e-05;-0.006185013552926111
1.05073e-05;-0.0061530847263698545
1.05075e-05;-0.0061199580057192254
1.05078e-05;-0.0060868312850685955
1.05080e-05;-0.00605370456441819
1.05083e-05;-0.006020577843767561
1.05085e-05;-0.005986909188706478
1.05087e-05;-0.005948276996989115
1.05090e-05;-0.0059096448052714905
1.05093e-05;-0.005871012613553866
1.05095e-05;-0.005832380421836503
1.05098e-05;-0.005793748230118878
1.05100e-05;-0.005752558296917315
1.05102e-05;-0.0057096520589444985
1.05105e-05;-0.0056667458209713915
1.05108e-05;-0.0056238395829982845
1.05110e-05;-0.0055808207575623195
1.05113e-05;-0.005536770751987299
1.05115e-05;-0.005492720746412277
1.05118e-05;-0.005448670740837256
1.05120e-05;-0.005404620735262534
1.05123e-05;-0.0053606776454241875
1.05125e-05;-0.0053168062985630635
1.05128e-05;-0.0052735006483454515
1.05130e-05;-0.005231162026667955
1.05133e-05;-0.00518988750480006
1.05135e-05;-0.005149720449930345
1.05138e-05;-0.0051106857042187495
1.05140e-05;-0.005072937421611238
1.05143e-05;-0.005036723913719652
1.05145e-05;-0.005002312561797719
1.05148e-05;-0.0049699708424175955
1.05150e-05;-0.004939975519880496
1.05153e-05;-0.004912810636090931
1.05155e-05;-0.004889312694840012
1.05158e-05;-0.004870254682884624
1.05160e-05;-0.004855944598354745
1.05163e-05;-0.004846386113699949
1.05165e-05;-0.004841525303886208
1.05168e-05;-0.004841308339197127
1.05170e-05;-0.004847107287934038
1.05172e-05;-0.004855697574531618
1.05175e-05;-0.0048703731407339435
1.05178e-05;-0.004889132072862555
