Time(s);Current(A)
1.45500e-05;-0.0071390807456203085
1.45503e-05;-0.007144486422327933
1.45505e-05;-0.007153867102437706
1.45508e-05;-0.00716324778254748
1.45510e-05;-0.00717262846265719
1.45513e-05;-0.007182009142766963
1.45515e-05;-0.007191389822876737
1.45518e-05;-0.00720077050298651
1.45520e-05;-0.007210151183096219
1.45523e-05;-0.007219531863205993
1.45525e-05;-0.007228912543315766
1.45528e-05;-0.007238293223425476
1.45530e-05;-0.007248281758985674
1.45533e-05;-0.007258432953305513
1.45535e-05;-0.007268584147625283
1.45538e-05;-0.007278735341945121
1.45540e-05;-0.00728888653626496
1.45543e-05;-0.007299037730584729
1.45545e-05;-0.007309188924904568
1.45548e-05;-0.007319340119224407
1.45550e-05;-0.007329491313544176
1.45553e-05;-0.007339642507864015
1.45555e-05;-0.007348917318891598
1.45558e-05;-0.007356034951668049
1.45560e-05;-0.007363152584444548
1.45563e-05;-0.0073679628307680035
1.45565e-05;-0.007367093548604901
1.45568e-05;-0.0073662242664417924
1.45570e-05;-0.007365354984278685
1.45573e-05;-0.007364485702115582
1.45575e-05;-0.007363616419952474
1.45578e-05;-0.007362747137789365
1.45580e-05;-0.0073509460088335464
1.45583e-05;-0.007336219578082705
1.45585e-05;-0.007321493147331864
1.45588e-05;-0.0073067667165811236
1.45590e-05;-0.007292040285830283
1.45593e-05;-0.007277313855079441
1.45595e-05;-0.007258534874712738
1.45598e-05;-0.007229780724838686
1.45600e-05;-0.007201026574964635
1.45603e-05;-0.007172272425090584
1.45605e-05;-0.007143518275216727
1.45608e-05;-0.0071147641253426755
1.45610e-05;-0.007086009975468624
1.45613e-05;-0.007057255825594768
1.45615e-05;-0.0070212155411786435
1.45618e-05;-0.006983225527420302
1.45620e-05;-0.006945235513662218
1.45623e-05;-0.006907245499903876
1.45625e-05;-0.006869255486145535
1.45628e-05;-0.006831265472387451
1.45630e-05;-0.006793275458629109
1.45633e-05;-0.006755139204394571
1.45635e-05;-0.006716642985773101
1.45638e-05;-0.0066781467671513705
1.45640e-05;-0.00663965054852964
1.45643e-05;-0.00660115432990817
1.45645e-05;-0.006562658111286439
1.45648e-05;-0.006526339715235125
1.45650e-05;-0.0064953819319734
1.45653e-05;-0.006464424148711465
1.45655e-05;-0.0064334663654495305
1.45658e-05;-0.006402508582187805
1.45660e-05;-0.00637155079892587
1.45663e-05;-0.006344879868767977
1.45665e-05;-0.0063287608356698485
1.45668e-05;-0.00631264180257161
1.45670e-05;-0.006296522769473372
