Time(s);Current(A)
9.50000e-06;-0.014825286358802134
9.50025e-06;-0.01482358809208732
9.50050e-06;-0.01482188982537252
9.50075e-06;-0.014820191558657707
9.50100e-06;-0.0148147182234124
9.50125e-06;-0.014807418713140525
9.50150e-06;-0.014800119202868599
9.50175e-06;-0.014792819692596673
9.50200e-06;-0.014785520182324798
9.50225e-06;-0.014778220672052872
9.50250e-06;-0.014770921161780946
9.50275e-06;-0.01476362165150907
9.50300e-06;-0.014756322141237144
9.50325e-06;-0.014748586058627352
9.50350e-06;-0.014738777075169636
9.50375e-06;-0.014728968091711987
9.50400e-06;-0.014719159108254271
9.50425e-06;-0.014709350124796555
9.50450e-06;-0.014699541141338906
9.50475e-06;-0.01468973215788119
9.50500e-06;-0.014679923174423475
9.50525e-06;-0.014670114190965824
9.50550e-06;-0.014660305207508108
9.50575e-06;-0.014650731893139396
9.50600e-06;-0.014641272582795172
9.50625e-06;-0.014631813272450885
9.50650e-06;-0.014622548480999285
9.50675e-06;-0.01461420728992892
9.50700e-06;-0.0146058660988585
9.50725e-06;-0.01459752490778808
9.50750e-06;-0.014588914619958156
9.50775e-06;-0.01458017415759539
9.50800e-06;-0.014571433695232623
9.50825e-06;-0.014560537559494812
9.50850e-06;-0.014548598624969957
9.50875e-06;-0.014536659690445103
9.50900e-06;-0.014522947132393146
9.50925e-06;-0.014508376590713287
9.50950e-06;-0.014493806049033428
9.50975e-06;-0.014475668041291653
9.51000e-06;-0.014455804285426121
9.51025e-06;-0.014435940529560591
9.51050e-06;-0.014416076773695195
9.51075e-06;-0.014396213017829665
9.51100e-06;-0.014375291052591317
9.51125e-06;-0.014349344574994084
9.51150e-06;-0.014323398097396673
9.51175e-06;-0.014297451619799263
9.51200e-06;-0.014271505142201853
9.51225e-06;-0.014245558664604618
9.51250e-06;-0.014217049033103923
9.51275e-06;-0.014187299485662124
9.51300e-06;-0.014157549938220524
9.51325e-06;-0.014127049577044267
9.51350e-06;-0.014096186012582798
9.51375e-06;-0.014064869260843061
9.51400e-06;-0.01403333328148272
9.51425e-06;-0.014001598012702825
9.51450e-06;-0.013969766338425258
9.51475e-06;-0.013938077148236415
9.51500e-06;-0.013906710468200386
9.51525e-06;-0.013875834280829146
9.51550e-06;-0.013845576032055704
9.51575e-06;-0.013816005790666892
9.51600e-06;-0.013787210860986911
9.51625e-06;-0.013759341372018136
9.51650e-06;-0.013735717449741081
9.51675e-06;-0.013720716820480545
9.51700e-06;-0.013693064373644651
9.51725e-06;-0.013668180260301052
9.51750e-06;-0.013646049789683517
9.51775e-06;-0.013627246803319257
9.51800e-06;-0.013611548655405668
9.51825e-06;-0.013597944504368008
9.51850e-06;-0.013585432089065066
9.51875e-06;-0.013575361109346984
9.51900e-06;-0.013567804006673964
9.51925e-06;-0.013562186061403959
9.51950e-06;-0.013560901718666139
9.51975e-06;-0.01356056822601715
9.52000e-06;-0.013561886059133842
9.52025e-06;-0.01356967240131096
9.52050e-06;-0.013577458743488077
9.52075e-06;-0.013585245085665143
9.52100e-06;-0.01359303142784226
9.52125e-06;-0.013603385544732616
9.52150e-06;-0.01362159382033397
9.52175e-06;-0.01363980209593545
9.52200e-06;-0.01365801037153693
9.52225e-06;-0.013676218647138286
9.52250e-06;-0.013696414721425054
9.52275e-06;-0.013721491823510009
9.52300e-06;-0.013746568925594792
9.52325e-06;-0.013771646027679748
9.52350e-06;-0.013796723129764703
9.52375e-06;-0.013821800231849486
9.52400e-06;-0.013847724702835025
9.52425e-06;-0.013875729883094571
9.52450e-06;-0.013903735063353927
9.52475e-06;-0.013931740243613473
9.52500e-06;-0.013959745423873017
9.52525e-06;-0.013987750604132375
9.52550e-06;-0.014015406801727144
9.52575e-06;-0.014042206074472992
9.52600e-06;-0.014067336233009181
