Time(s);Current(A)
1.28000e-05;0.0012786291798110153
1.28002e-05;0.001273905566671785
1.28005e-05;0.0012691292788478536
1.28008e-05;0.0012573048841578794
1.28010e-05;0.0012454302302931874
1.28013e-05;0.0012269244065028875
1.28015e-05;0.0012083712966633289
1.28018e-05;0.0011836108315061856
1.28020e-05;0.0011588061024693668
1.28023e-05;0.0011270871017444975
1.28025e-05;0.0010953187962068963
1.28028e-05;0.0010635504906695101
1.28030e-05;0.0010250624146615724
1.28033e-05;0.0009865264208048842
1.28035e-05;0.000947990426948457
1.28038e-05;0.0009045930200345386
1.28040e-05;0.0008611609469877749
1.28043e-05;0.0008177288739413054
1.28045e-05;0.0007714009752203397
1.28048e-05;0.0007250524267260603
1.28050e-05;0.000678703878232095
1.28053e-05;0.0006323553297378156
1.28055e-05;0.0005866033683587126
1.28058e-05;0.0005408556611685648
1.28060e-05;0.0004951079539781071
1.28063e-05;0.00044936024678764934
1.28065e-05;0.0004068480127337127
1.28068e-05;0.00036435885043672463
1.28070e-05;0.00032454349710868055
1.28073e-05;0.0002869381232628436
1.28075e-05;0.0002518455728282177
1.28078e-05;0.00021955086676852568
1.28080e-05;0.0001898954804301553
1.28083e-05;0.000162139584365355
1.28085e-05;0.00013576675300575695
1.28087e-05;0.0001107952458517495
1.28090e-05;8.739438661226339e-05
1.28093e-05;6.573449131544283e-05
1.28095e-05;4.598585390379753e-05
1.28098e-05;2.830408268291972e-05
1.28100e-05;1.256694663313691e-05
1.28103e-05;-1.711908923155666e-06
1.28105e-05;-1.4878829787342347e-05
1.28108e-05;-2.694524122191503e-05
1.28110e-05;-3.782795078296003e-05
1.28113e-05;-4.74431362767727e-05
1.28115e-05;-5.570701296855314e-05
1.28118e-05;-6.254498768240098e-05
1.28120e-05;-6.805652622200721e-05
1.28123e-05;-7.256913921823117e-05
1.28125e-05;-7.632263162491057e-05
1.28128e-05;-7.934698775497441e-05
1.28130e-05;-8.161292640364972e-05
1.28133e-05;-8.309079051005706e-05
1.28135e-05;-8.375093771986319e-05
1.28138e-05;-8.356949088568351e-05
1.28140e-05;-8.26316018876225e-05
1.28143e-05;-8.11652395200524e-05
1.28145e-05;-7.934343937374506e-05
1.28148e-05;-7.720779395934631e-05
1.28150e-05;-7.461128118692592e-05
1.28153e-05;-7.201149785786562e-05
1.28155e-05;-6.881599434658829e-05
1.28158e-05;-6.561624282864172e-05
1.28160e-05;-6.204134270462802e-05
1.28163e-05;-5.846376744245774e-05
1.28165e-05;-5.4990429835409704e-05
1.28168e-05;-5.1624324460529576e-05
1.28170e-05;-4.825821908564944e-05
1.28172e-05;-4.518728992205499e-05
1.28175e-05;-4.232225265571407e-05
1.28178e-05;-3.9668711967678796e-05
1.28180e-05;-3.688528177641425e-05
1.28183e-05;-3.321329456920025e-05
1.28185e-05;-2.8152367942600664e-05
1.28188e-05;-2.1675041224893384e-05
1.28190e-05;-1.3880935874304979e-05
1.28193e-05;-4.870562827198375e-06
1.28195e-05;5.255570540625952e-06
1.28198e-05;1.6408855988204007e-05
1.28200e-05;2.8718555399610263e-05
1.28203e-05;4.257528091130691e-05
1.28205e-05;5.820782388570767e-05
1.28208e-05;7.554873756213191e-05
1.28210e-05;9.445097448281445e-05
1.28213e-05;0.00011476692012257422
1.28215e-05;0.00013634899597580666
