Time(s);Current(A)
1.37500e-05;-0.007597698265342436
1.37503e-05;-0.00755323242423785
1.37505e-05;-0.0075086149114152395
1.37508e-05;-0.00746378523362514
1.37510e-05;-0.007418760854384428
1.37513e-05;-0.007373464118322855
1.37515e-05;-0.007328196500125542
1.37518e-05;-0.00728313985570165
1.37520e-05;-0.007238604961777055
1.37523e-05;-0.007194862988067464
1.37525e-05;-0.0071521409236802716
1.37528e-05;-0.007110535980721331
1.37530e-05;-0.007070064076956539
1.37533e-05;-0.007030833473603488
1.37535e-05;-0.006993078023523943
1.37538e-05;-0.006958015304435116
1.37540e-05;-0.006925386418033462
1.37543e-05;-0.006892757531631809
1.37545e-05;-0.006862550604447554
1.37548e-05;-0.00683573161870721
1.37550e-05;-0.006808912632966866
1.37553e-05;-0.006783070713328194
1.37555e-05;-0.006758595556067299
1.37558e-05;-0.006734120398806404
1.37560e-05;-0.00671153016780326
1.37563e-05;-0.006691576653282322
1.37565e-05;-0.006671623138761382
1.37568e-05;-0.006651669624240579
1.37570e-05;-0.006631716109719641
1.37573e-05;-0.006611762595198702
1.37575e-05;-0.006591809080677764
1.37578e-05;-0.0065751086604119765
1.37580e-05;-0.006558703198339531
1.37583e-05;-0.006542297736267085
1.37585e-05;-0.00652589227419475
1.37588e-05;-0.006509486812122305
1.37590e-05;-0.006493081350049859
1.37593e-05;-0.0064775129485111875
1.37595e-05;-0.00646311546349883
1.37598e-05;-0.006448717978486471
1.37600e-05;-0.0064343204934742115
1.37603e-05;-0.006419923008461854
1.37605e-05;-0.006405525523449495
1.37608e-05;-0.006392759840330685
1.37610e-05;-0.006380142112758417
1.37613e-05;-0.00636752438518615
1.37615e-05;-0.006354906657613967
1.37618e-05;-0.0063422889300417
1.37620e-05;-0.006330165209090296
1.37623e-05;-0.006318732525995037
1.37625e-05;-0.006307671775081856
1.37628e-05;-0.006297131299013002
1.37630e-05;-0.006286855795506137
1.37633e-05;-0.0062769509470944574
1.37635e-05;-0.006267267685627414
1.37638e-05;-0.006258076861522658
1.37640e-05;-0.0062493499651054595
1.37643e-05;-0.006241150637126041
1.37645e-05;-0.006233674052533845
1.37648e-05;-0.006227494699393075
1.37650e-05;-0.006223387091345066
1.37653e-05;-0.0062217886054626624
1.37655e-05;-0.006222726402680467
1.37658e-05;-0.006226106574264668
1.37660e-05;-0.006231834513550849
1.37663e-05;-0.006239816933435267
1.37665e-05;-0.00625060688484823
1.37668e-05;-0.00626352898557102
1.37670e-05;-0.0062788705866685815
1.37673e-05;-0.006297596689676375
1.37675e-05;-0.006319810810821923
1.37678e-05;-0.00634690412280045
1.37680e-05;-0.006373997434779162
1.37683e-05;-0.0064010907467578725
1.37685e-05;-0.006428184058736399
1.37688e-05;-0.006464298344261382
1.37690e-05;-0.0065012305618394745
1.37693e-05;-0.006538162779417318
1.37695e-05;-0.006575094996995411
1.37698e-05;-0.006614661216545975
1.37700e-05;-0.006657911992131253
1.37703e-05;-0.006701162767716825
1.37705e-05;-0.0067455981227140275
1.37708e-05;-0.006791690518694868
1.37710e-05;-0.00683778291467602
1.37713e-05;-0.006884436638367651
1.37715e-05;-0.006931875571570948
1.37718e-05;-0.006979314504774565
1.37720e-05;-0.007026449382772248
1.37723e-05;-0.007073158935179196
1.37725e-05;-0.007119113461374414
1.37728e-05;-0.0071640118242046955
1.37730e-05;-0.007207814384754962
1.37733e-05;-0.007250084089618391
1.37735e-05;-0.007287428061322
1.37738e-05;-0.007317881704152047
1.37740e-05;-0.007348335346982299
1.37743e-05;-0.007378788989812551
1.37745e-05;-0.007409242632642804
1.37748e-05;-0.00743969627547285
1.37750e-05;-0.007470149918303103
1.37753e-05;-0.007500603561133356
1.37755e-05;-0.0075310572039634024
1.37758e-05;-0.007561510846793655
1.37760e-05;-0.007587334768669155
1.37763e-05;-0.007606682436363115
1.37765e-05;-0.007626030104057207
1.37768e-05;-0.007645377771751298
1.37770e-05;-0.0076647254394452595
1.37773e-05;-0.007684073107139351
1.37775e-05;-0.007703420774833443
1.37778e-05;-0.007722768442527403
1.37780e-05;-0.007742116110221495
1.37783e-05;-0.007761463777915587
1.37785e-05;-0.007778781488640942
1.37788e-05;-0.0077932596076424445
1.37790e-05;-0.007807737726643947
1.37793e-05;-0.007822215845645351
1.37795e-05;-0.007836693964646852
1.37798e-05;-0.007851172083648354
1.37800e-05;-0.007865650202649758
1.37803e-05;-0.007880128321651261
1.37805e-05;-0.007894606440652763
1.37808e-05;-0.007909084559654167
1.37810e-05;-0.007923562678655668
1.37813e-05;-0.007934488860482036
1.37815e-05;-0.007945092988013925
1.37818e-05;-0.007955697115545885
1.37820e-05;-0.007966301243077845
1.37823e-05;-0.007976905370609732
1.37825e-05;-0.007987509498141691
1.37828e-05;-0.007998113625673651
1.37830e-05;-0.008008717753205613
1.37833e-05;-0.0080193218807375
1.37835e-05;-0.00802992600826946
1.37838e-05;-0.00803917333577964
1.37840e-05;-0.00804652271265674
1.37843e-05;-0.008053872089533889
1.37845e-05;-0.00805968313730612
1.37848e-05;-0.008063342303701775
1.37850e-05;-0.008067001470097456
1.37853e-05;-0.00806776023841959
1.37855e-05;-0.008064461804301176
1.37858e-05;-0.008061163370182738
1.37860e-05;-0.008055058750457185
1.37863e-05;-0.008045028716769478
1.37865e-05;-0.008034998683081706
1.37868e-05;-0.008020470533537818
1.37870e-05;-0.00799965022472261
1.37873e-05;-0.007978829915907261
1.37875e-05;-0.007958009607091912
1.37878e-05;-0.007937189298276704
1.37880e-05;-0.007916368989461355
1.37883e-05;-0.007884097733457074
1.37885e-05;-0.00785078821958498
1.37888e-05;-0.007817478705712661
1.37890e-05;-0.00778416919184034
1.37893e-05;-0.007750859677968246
1.37895e-05;-0.007714347387299811
1.37898e-05;-0.007673354913737253
1.37900e-05;-0.007632362440174972
1.37903e-05;-0.007590199654954535
1.37905e-05;-0.0075463997871010125
1.37908e-05;-0.007501941758463339
1.37910e-05;-0.0074565630660152
1.37913e-05;-0.007410804676621365
1.37915e-05;-0.007364515150695252
1.37918e-05;-0.007318213007028415
1.37920e-05;-0.007272033367103692
1.37923e-05;-0.007226301358987723
1.37925e-05;-0.007181266995660457
1.37928e-05;-0.007137131857959019
1.37930e-05;-0.007094073484020881
1.37933e-05;-0.0070523131549757095
1.37935e-05;-0.007012549378575602
1.37938e-05;-0.006974394489677468
1.37940e-05;-0.006941737909051846
1.37943e-05;-0.0069167726001692735
1.37945e-05;-0.006891807291286701
1.37948e-05;-0.006866841982404299
1.37950e-05;-0.0068418766735217264
1.37953e-05;-0.006816911364639154
1.37955e-05;-0.006791946055756752
1.37958e-05;-0.006766980746874179
1.37960e-05;-0.006742015437991608
1.37963e-05;-0.006717050129109205
1.37965e-05;-0.006692084820226632
1.37968e-05;-0.006667119511344061
1.37970e-05;-0.006642154202461658
1.37973e-05;-0.006617188893579085
1.37975e-05;-0.006603385442349028
1.37978e-05;-0.006590594037227629
1.37980e-05;-0.006577802632106143
1.37983e-05;-0.006565011226984658
1.37985e-05;-0.0065522198218632595
1.37988e-05;-0.006539428416741774
1.37990e-05;-0.006526637011620288
1.37993e-05;-0.00651384560649889
