Time(s);Current(A)
1.00000e-05;-0.0035479540532254716
1.00003e-05;-0.003549520595461567
1.00005e-05;-0.0035469823378726363
1.00008e-05;-0.003544444080283689
1.00010e-05;-0.0035419058226947415
1.00013e-05;-0.0035393675651058114
1.00015e-05;-0.003536829307516864
1.00018e-05;-0.0035342910499279166
1.00020e-05;-0.0035304787947719515
1.00023e-05;-0.0035170836442694167
1.00025e-05;-0.003503688493766882
1.00028e-05;-0.003490293343264438
1.00030e-05;-0.0034768981927619028
1.00033e-05;-0.003463503042259368
1.00035e-05;-0.003450107891756924
1.00038e-05;-0.003436712741254389
1.00040e-05;-0.0034210684078813053
1.00042e-05;-0.003404029938989045
1.00045e-05;-0.0033869914700966693
1.00048e-05;-0.003369638601049291
1.00050e-05;-0.0033520908539291486
1.00053e-05;-0.0033345431068088874
1.00055e-05;-0.003317579649522552
1.00057e-05;-0.003300978358968856
1.00060e-05;-0.0032843770684150477
1.00063e-05;-0.0032688853535987397
1.00065e-05;-0.0032540813991987177
1.00068e-05;-0.0032405160242571012
1.00070e-05;-0.0032277183715133445
1.00073e-05;-0.0032174689555028034
1.00075e-05;-0.003208799040825123
1.00078e-05;-0.0032001291261473837
1.00080e-05;-0.0031953490150330257
1.00083e-05;-0.0031929799632338532
1.00085e-05;-0.0031906109114346643
1.00088e-05;-0.003193506648820371
1.00090e-05;-0.0031996657178369136
1.00093e-05;-0.0032058247868534976
1.00095e-05;-0.003211983855870082
1.00098e-05;-0.0032181429248866245
1.00100e-05;-0.003230996561153439
1.00103e-05;-0.003247999763964346
1.00105e-05;-0.0032650029667751373
1.00108e-05;-0.0032820061695860436
1.00110e-05;-0.0032990093723969504
1.00113e-05;-0.003320605318489734
1.00115e-05;-0.0033450480346809463
1.00118e-05;-0.003369490750872159
1.00120e-05;-0.0033963877478829082
1.00123e-05;-0.003424806008509403
1.00125e-05;-0.0034547057636790564
1.00127e-05;-0.003485523809749483
1.00130e-05;-0.0035174277149960347
1.00133e-05;-0.003550004680164153
1.00135e-05;-0.0035833802466400558
1.00138e-05;-0.003617250818864315
1.00140e-05;-0.0036514627658377668
1.00142e-05;-0.003685943805535071
1.00145e-05;-0.003720389189374166
1.00148e-05;-0.0037545911635185228
1.00150e-05;-0.003788346964533894
1.00153e-05;-0.003821475851620532
