Time(s);Current(A)
1.27500e-05;-0.00976802620689176
1.27503e-05;-0.009704024437863602
1.27505e-05;-0.009639648174056645
1.27508e-05;-0.009575251074794929
1.27510e-05;-0.00951121511144404
1.27513e-05;-0.009447924084162104
1.27515e-05;-0.009385754892817502
1.27518e-05;-0.00932499072480284
1.27520e-05;-0.00926574742781212
1.27523e-05;-0.0092081374423269
1.27525e-05;-0.009152432541360278
1.27528e-05;-0.00909900736221432
1.27530e-05;-0.009048254923015902
1.27533e-05;-0.009000568241891825
1.27535e-05;-0.008956335714206351
1.27538e-05;-0.008915836006144347
1.27540e-05;-0.00887911886038502
1.27543e-05;-0.008846121272914514
1.27545e-05;-0.00881685567292572
1.27548e-05;-0.008791411393387724
1.27550e-05;-0.00876989540728669
1.27553e-05;-0.008752413436660679
1.27555e-05;-0.008740360984729727
1.27558e-05;-0.008730684077518152
1.27560e-05;-0.008725963348557192
1.27563e-05;-0.008724274395068133
1.27565e-05;-0.008728313332089633
1.27568e-05;-0.008735856113621461
1.27570e-05;-0.008743398895153237
1.27573e-05;-0.008759332797921897
1.27575e-05;-0.008780399687088757
1.27577e-05;-0.008801466576255475
1.27580e-05;-0.008822533465422335
1.27583e-05;-0.008843600354589197
1.27585e-05;-0.008872717667464992
1.27588e-05;-0.00890675955647662
1.27590e-05;-0.008940801445488481
1.27593e-05;-0.00897484333450034
1.27595e-05;-0.009008885223511969
1.27598e-05;-0.009047127546303307
1.27600e-05;-0.00908793934328639
1.27603e-05;-0.009128751140269196
1.27605e-05;-0.009170921451309266
1.27608e-05;-0.009213922787665271
1.27610e-05;-0.009256924124020982
1.27613e-05;-0.009299828574999041
1.27615e-05;-0.009342673759603367
1.27618e-05;-0.009385518944207404
1.27620e-05;-0.009427102018595056
1.27623e-05;-0.009467913039475993
1.27625e-05;-0.009504290017772789
1.27628e-05;-0.009537954619543102
1.27630e-05;-0.009571619221313417
1.27633e-05;-0.009605283823083503
1.27635e-05;-0.009638948424853818
1.27638e-05;-0.009671576977627303
1.27640e-05;-0.009696640561423808
1.27643e-05;-0.009721704145220483
1.27645e-05;-0.009746767729017157
1.27648e-05;-0.009771831312813662
1.27650e-05;-0.009796894896610337
1.27653e-05;-0.00981858567554155
1.27655e-05;-0.009838213254452744
1.27658e-05;-0.00985784083336407
1.27660e-05;-0.009877468412275398
1.27662e-05;-0.009897095991186593
